coefficients_species,gen_spp,species_name
alcyonium_sub,Alcyonium siderium,Alcyonium siderium
anomia_spp,Anomia simplex,Anomia simplex
aplidium_glabrum,Aplidium glabrum,Aplidium glabrum
balanus_balanus,Balanus balanus,Balanus balanus
bare_space_rock,,
boltenia_echinata,Boltenia echinata,Boltenia echinata
boltenia_ovifera,Boltenia ovifera,Boltenia ovifera
botrylloides_sp,Botrylloides violaceus,Botrylloides violaceus
botryllus_schlosseri,Botryllus schlosseri,Botryllus schlosseri
brown_algae_sub,,
clathromorphum_sp,Clathromorphum circumscriptum,Clathromorphum circumscriptum
cliona_spp,Cliona celata,Cliona celata
dendrodoa_carnea,Dendrodoa carnea,Dendrodoa carnea
didemnum_albidum,Didemnum albidum,Didemnum albidum
didemnum_vexillum,Didemnum vexillum,Didemnum vexillum
diplosoma_listerianum,Diplosoma listerianum,Diplosoma listerianum
edwardsiella_lineata,Edwardsiella lineata,Edwardsiella lineata
encrusting_bryozoan,,
erect_bryozoan_sub,,
green_algae_sub,,
halichondria_panicea,Halichondria (Halichondria) panicea,Halichondria panicea
haliclona_oculata,Haliclona oculata,Haliclona oculata
halisarca_nahantensis,Halisarca nahantensis,Halisarca nahantensis
halocynthia_pyriformis,Halocynthia pyriformis,Halocynthia pyriformis
hyd_bry_complex,,
hydroid_sub,,
hymedesmia_sp,Hymedesmia (Hymedesmia) paupertas,Hymedesmia paupertas
isodictya_spp,Isodictya palmata,Isodictya palmata
leucosolenia_spp,Leucosolenia botryoides,Leucosolenia botryoides
lithothamnion_spp,Lithothamnion glaciale,Boreolithothamnion glaciale
metridium_sub,Metridium senile,Metridium senile
modiolus_modiolus,Modiolus modiolus,Modiolus modiolus
molgula_citrina,Molgula citrina,Molgula citrina
mytilus_edulis,Mytilus edulis,Mytilus edulis
orange_sponge_crust,,
peysonnelia,Peyssonnelia rosenvingei,Peyssonnelia rosenvingei
phymatolithon_sp,,Phymatolithon rugulosum
red_algae_sub,,
scypha_sp,,
spirorbis_spp,Spirorbis spirorbis,Spirorbis spirorbis
styela_sp,Styela clava,Styela clava
tube_complex,,
tubularia_sub,Ectopleura crocea,Ectopleura crocea
