site,area,location,depth_m,angle,date,year,month,day,no_qds,total_points,alcyonium_sub,anomia_spp,aplidium_glabrum,balanus_balanus,bare_space_rock,boltenia_echinata,boltenia_ovifera,botrylloides_sp,botryllus_schlosseri,brown_algae_sub,clathromorphum_sp,cliona_spp,dendrodoa_carnea,didemnum_albidum,didemnum_vexillum,diplosoma_listerianum,edwardsiella_lineata,encrusting_bryozoan,erect_bryozoan_sub,green_algae_sub,halichondria_panicea,haliclona_oculata,halisarca_nahantensis,halocynthia_pyriformis,hyd_bry_complex,hydroid_sub,hymedesmia_sp,isodictya_spp,leucosolenia_spp,lithothamnion_spp,metridium_sub,modiolus_modiolus,molgula_citrina,mytilus_edulis,orange_sponge_crust,peysonnelia,phymatolithon_sp,red_algae_sub,scypha_sp,spirorbis_spp,styela_sp,tube_complex,tubularia_sub
DBALC,Dive Beach,Nahant,7,vertical,6/5/07,2007,6,5,6,1074,0.013966480446927373,0,0.088454376,0.005586592,0,0,9.31098696461825e-4,0,0.008379888,0,0,0,0,0.022346369,0.010242085661080074,0.021415270018621976,0.008379888,0.001862197,0.4515828677839851,0,0.015828677839851025,0.001862197,0.001862197,0,0.001862197,0.001862197,0,0,9.31098696461825e-4,0.023277467411545624,0.020484171322160148,0,0,0,0.024208566108007448,0.13221601489757914,0.001862197,0.14059590316573556,0,0,0,0,0
DBALC,Dive Beach,Nahant,7,vertical,8/25/08,2008,8,25,6,931.5,0,0,0.088030059,0.038647343,0,0.016639828234031134,0,0.005367687,0,0,0.001073537,0,0,0.026838432635534086,0,0.09554482,5.367686527106817e-4,0.022007515,0.13633923778851315,0,0.001073537,0,0,0,0.4444444444444444,0,0,0,0,0.047235641,0,0,0,0,0.006441224,0.062265163714439076,0,0.007514761,0,0,0,0,0
DBALC,Dive Beach,Nahant,7,vertical,8/18/09,2009,8,18,7,741,0.002699055,0,0.0634278,0,0,0.004048583,0,0.010796221322537112,0,0,0,0,0,0,0.002699055,0.002699055,0,0.006747638,0.26045883940620784,0,0.002699055,0,0,0,0.5748987854251012,0,0,0,0,0.033738191632928474,0,0,0,0,0.016194331983805668,0.012145748987854251,0,0.006747638,0,0,0,0,0
DBALC,Dive Beach,Nahant,7,vertical,6/9/09,2009,6,9,6,809,0.001236094,0.003708282,0.13473423980222496,0.019777503090234856,0.003708282,0.009888752,0,0.10012360939431397,0,0,0,0,0,0,0,0.077873918,0,0.014833127317676144,0.34363411619283063,0,0,0,0,0,0.011124845488257108,0,0,0,0,0.065512979,0.001236094,0,0,0,0.017305315,0.082818294,0,0.11248454882571075,0,0,0,0,0
DBALC,Dive Beach,Nahant,7,vertical,7/26/11,2011,7,26,6,1073.5,0,0,0.12016767582673497,9.315323707498836e-4,0,0,0,0.009315324,0,0,0,0,9.315323707498836e-4,0.008383791,9.315323707498836e-4,4.657661853749418e-4,0,0.006520727,0.11737307871448532,0.008383791,0,0,0,0,0.607359106,0.003726129,0,0,0,0.083837913,0,0,0,0,0.001397299,0.024685607824871916,0,0.005123428,0,0,0,0,4.657661853749418e-4
DBALC,Dive Beach,Nahant,7,vertical,5/25/11,2011,5,25,6,931,0,0,0.19011815252416756,0,0,0,0,0.11063372717508056,0.001074114,0.004296455,0,0,0,0,0,0.024704618689581095,0.002148228,0,0.46938775510204084,0,0,0,0,0.007518797,0.11385606874328678,0,0,0,0,0.03329753,0.001074114,0,0,0,0,0.030075188,0,0.011815252416756176,0,0,0,0,0
DBALC,Dive Beach,Nahant,7,vertical,9/12/12,2012,9,12,5,1002,9.98003992015968e-4,0.011976047904191617,0.001996008,0,0.033932135728542916,0,0,0.080838323,0.001996008,0,0,0,0,9.98003992015968e-4,0.031936127744510975,0.013972055888223553,9.98003992015968e-4,0.002994012,0.24451097804391217,0,0,0,0,0,0.3223552894211577,0.00998004,0,0,0,0.00499002,0,0,0,0,0,0.083832335,0.0249501,0.10678642714570859,0,0.01996008,0,0,0
DBALC,Dive Beach,Nahant,7,vertical,6/5/13,2013,6,5,6,905,0.001104972,0,0.043093923,0,0,0,0,0.08839779,0,0,0,0,0,0,0.34806629834254144,0,0.023204419889502764,0,0.25303867403314917,0,0.011049723756906077,0,0,0,0.13701657458563535,0,0,0.005524862,0,0.020994475138121547,0,0,0,0.060773481,0.00441989,0.003314917,0,0,0,0,0,0,0
DBALC,Dive Beach,Nahant,7,vertical,6/21/14,2014,6,21,6,1202.5,0,0,0.01995842,0,0.001663202,0,0,0.005821206,8.316008316008316e-4,0,0,0,8.316008316008316e-4,0,0.1995841995841996,0.060706861,0,4.158004158004158e-4,0.046569647,0,0,0,0,0,0.4224532224532225,0.084823285,0,0,8.316008316008316e-4,0.006652807,0,0,0,0,0,0,0.005821206,0.1422037422037422,0,0,0,0,8.316008316008316e-4
DBALC,Dive Beach,Nahant,7,vertical,9/16/14,2014,9,16,6,1201.5,4.161464835622139e-4,0,0.001664586,0,0.001664586,0,0,8.322929671244278e-4,0,0,0,0,4.161464835622139e-4,0,0.6650020807324178,8.322929671244278e-4,4.161464835622139e-4,0,0,0,0,0,0,0,0.034124012,0.2530170620058261,0,0,0,8.322929671244278e-4,0,0,0,0,8.322929671244278e-4,0,0,0.039950062421972535,0,0,0,0,0
DBALC,Dive Beach,Nahant,7,vertical,6/21/14,2014,6,21,6,1202.5,0,0,0.01995842,0,0.001663202,0,0,0.005821206,8.316008316008316e-4,0,0,0,8.316008316008316e-4,0,0.1995841995841996,0.060706861,0,4.158004158004158e-4,0.046569647,0,0,0,0,0,0.4224532224532225,0.084823285,0,0,8.316008316008316e-4,0.006652807,0,0,0,0,0,0,0.005821206,0.1422037422037422,0,0,0,0,8.316008316008316e-4
DBALC,Dive Beach,Nahant,7,vertical,9/16/14,2014,9,16,6,1201.5,4.161464835622139e-4,0,0.001664586,0,0.001664586,0,0,8.322929671244278e-4,0,0,0,0,4.161464835622139e-4,0,0.6650020807324178,8.322929671244278e-4,4.161464835622139e-4,0,0,0,0,0,0,0,0.034124012,0.2530170620058261,0,0,0,8.322929671244278e-4,0,0,0,0,8.322929671244278e-4,0,0,0.039950062421972535,0,0,0,0,0
DBALC,Dive Beach,Nahant,7,vertical,8/28/15,2015,8,28,3,549.5,0,0,0,0,0,0,0,0.001819836,0,0,0,0,0,0,0.6242038216560509,0,0,0,0.3403093721565059,0,0,0,0,0,0,0.014558689717925387,0,0,0,0.005459509,0,0,0,0,0,0,0,0.012738853503184714,0,0,0,0,9.099181073703367e-4
DBALC,Dive Beach,Nahant,7,vertical,11/27/15,2015,11,27,6,1123,0,0,8.904719501335708e-4,8.904719501335708e-4,0,0,0,0.00890472,0,0,0,0,0,0,0.5200356188780053,8.904719501335708e-4,0,0,0.12733748886910062,0,0,0,0,0,0.26001780943900266,0,0,0,0,0.00890472,0,0,0,0,0.008014248,0,0.001780944,0.062333037,0,0,0,0,0
DBALC,Dive Beach,Nahant,7,vertical,6/24/16,2016,6,24,6,1088,0,0,0,0,0,0,0,9.191176470588235e-4,0,0,0,0,0,0,0.23253676470588236,0,0,0,0.6185661764705882,0,0,0,0,0,0,0.026654412,0,0,0,0.009191176,0,0,0,0.09375,0.001838235,0.016544117647058824,0,0,0,0,0,0,0
DBALC,Dive Beach,Nahant,7,vertical,8/22/17,2017,8,22,6,1057,0,0,0,0,0,0,0,9.46073793755913e-4,0,0,0,0,0,0,0.5487228003784295,0,0,0,0.3888363292336802,0,0,0,0,0,0,0,0,0,0,0.016083254,0,0,0,0,0.005676443,0.030274361400189215,0,0.009460738,0,0,0,0,0
DBALC,Dive Beach,Nahant,7,vertical,6/14/17,2017,6,14,6,1148,0,0,0.005226481,0,0,0,0,0.005226481,0,0,0,0,4.3554006968641115e-4,0,0.18989547038327526,0,0,8.710801393728223e-4,0.6794425087108014,4.3554006968641115e-4,0,0,0,0,0,0,0,0,0,0.006097561,0,0,0,8.710801393728223e-4,0,0.026132404,0.003484321,0.081881533,0,0,0,0,0
DBALC,Dive Beach,Nahant,7,vertical,8/29/18,2018,8,29,6,1103.5,0.001359311,0,0.009062075,0,0,0,0,0.040779338468509285,0,0,0,0,0,0,0.11146352514725873,4.5310376076121433e-4,4.5310376076121433e-4,4.5310376076121433e-4,0.8083371091980064,0,0,0,0,0,0,0,0,0,0.002265519,0.00362483,0,0,0,0.012686905301314002,9.062075215224287e-4,0.008155868,0,0,0,0,0,0,0
DBALC,Dive Beach,Nahant,7,vertical,7/9/18,2018,7,9,6,348,0.011494252873563218,0,0.05316092,0,0,0,0,0.07183908,0,0,0,0,0,0,0.4511494252873563,0,0.001436782,0,0.068965517,0,0,0,0,0,0,0,0,0,0,0.002873563,0,0,0,0.3390804597701149,0,0,0,0,0,0,0,0,0
DBALC,Dive Beach,Nahant,7,vertical,8/12/19,2019,8,12,5,859.5,0.003490401,0,0.007562536,0,0,0,0,0.010471204188481676,0,0,0,0,0,0,0.29086678301337987,0.060500291,0,0,0.5991855730075626,0,0,0,0.001163467,0,0,0,0,0,0,0.003490401,0,0,0,0,0,0.001163467,0,0.022105876,0,0,0,0,0
DBALC,Dive Beach,Nahant,7,vertical,6/24/19,2019,6,24,4,260.5,0.007677543,0,0.14971209213051823,0.003838772,0,0,0,0.2495201535508637,0,0,0.007677543,0,0,0.026871401151631478,0.16122840690978887,0.053742802303262956,0,0,0.2840690978886756,0,0,0,0.011516314779270634,0,0.003838772,0,0,0,0,0.001919386,0,0,0,0,0,0.011516314779270634,0,0.026871401151631478,0,0,0,0,0
DBALC,Dive Beach,Nahant,7,vertical,6/19/20,2020,6,19,6,1115,0,0,0.086098655,0,0,0,0,0.001793722,0,0,0,0,0,0,0.46905829596412557,0,0,0,0.33004484304932735,8.968609865470852e-4,0,0,0,0,0.012556053811659192,0,0,0,0,0.004484305,0,0,0,0.001793722,8.968609865470852e-4,0.092376682,0,0,0,0,0,0,0
